id,month,day,hour,min,n_px,ce_px,cs_px,score,month,day,hour,min
1244,1,13,23,0,0.64,405.14,0,0.70,11,15,10,54
23979,9,28,0,45,0,452.01,0,0.69,11,15,10,54
26946,10,28,22,30,0,0,0,0.69,11,15,10,54
13330,5,27,23,15,2.51,380.16,3.67,0.68,11,15,10,54
14868,6,12,23,45,3.32,542.63,0,0.67,11,15,10,54
20381,8,9,10,0,3.39,0,598.49,0.67,11,15,10,54
27112,10,30,15,0,3.88,225.89,21.12,0.67,11,15,10,54
30064,11,30,9,0,0,37.76,177.27,0.67,11,15,10,54
7953,4,1,23,0,1.61,122.1,99.54,0.66,11,15,10,54
8053,4,3,0,0,2.28,0,198.83,0.66,11,15,10,54
14867,6,12,23,30,3.27,510.04,0,0.66,11,15,10,54
27955,11,8,9,45,0,0,295.6,0.66,11,15,10,54
30054,11,30,6,30,0,38.44,95.68,0.66,11,15,10,54
30055,11,30,6,45,0,0,310.37,0.66,11,15,10,54
30060,11,30,8,0,0,0,313.75,0.66,11,15,10,54
1055,1,11,23,45,0.5,186.97,0,0.65,11,15,10,54
1239,1,13,21,45,0.44,291.14,0,0.65,11,15,10,54
1240,1,13,22,0,0.48,297.74,0,0.65,11,15,10,54
1241,1,13,22,15,0.51,285.49,0,0.65,11,15,10,54
1242,1,13,22,30,0.55,344.09,0,0.65,11,15,10,54
1576,1,17,10,0,0,0,446.3,0.65,11,15,10,54
1580,1,17,11,0,0,0,403.88,0.65,11,15,10,54
13234,5,26,23,15,2.64,183.54,64.71,0.65,11,15,10,54
23983,9,28,1,45,0,391.11,0,0.65,11,15,10,54
30056,11,30,7,0,0,0,344.19,0.65,11,15,10,54
