id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
0,n_px,2.07,month_day_hour_min,0,0.50,0.61,0.54,0.48,0.59,0.54,0.52,0.60,0.55,0.51,0.53,0.49,0.54,0.51,0.46,0.56,0.52,0.55,0.54,0.55,0.58,0.52,0.57,0.52,0.52,13.40,0.54,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,true
1,n_px,2.1,month_day_hour_min,1,0.51,0.58,0.52,0.46,0.53,0.55,0.53,0.58,0.55,0.51,0.52,0.53,0.53,0.50,0.45,0.53,0.49,0.55,0.51,0.56,0.53,0.49,0.55,0.51,0.52,13.09,0.52,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
2,n_px,2.13,month_day_hour_min,2,0.51,0.62,0.54,0.48,0.56,0.54,0.50,0.57,0.53,0.52,0.53,0.51,0.53,0.50,0.45,0.55,0.51,0.56,0.56,0.57,0.54,0.52,0.57,0.53,0.52,13.32,0.53,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,true
3,n_px,2.16,month_day_hour_min,3,0.49,0.57,0.50,0.50,0.54,0.55,0.50,0.57,0.54,0.49,0.53,0.54,0.54,0.53,0.42,0.49,0.46,0.55,0.51,0.57,0.55,0.50,0.55,0.52,0.50,13.01,0.52,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
4,n_px,2.19,month_day_hour_min,4,0.48,0.55,0.54,0.47,0.56,0.53,0.51,0.53,0.54,0.47,0.49,0.49,0.48,0.45,0.42,0.52,0.45,0.48,0.47,0.52,0.54,0.52,0.53,0.43,0.47,12.44,0.50,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
5,n_px,2.23,month_day_hour_min,5,0.48,0.57,0.53,0.48,0.55,0.52,0.49,0.53,0.53,0.48,0.51,0.52,0.50,0.43,0.43,0.55,0.46,0.50,0.49,0.54,0.52,0.51,0.53,0.45,0.46,12.56,0.50,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
6,n_px,2.27,month_day_hour_min,6,0.47,0.56,0.51,0.46,0.55,0.50,0.51,0.51,0.53,0.46,0.49,0.48,0.46,0.45,0.42,0.51,0.46,0.49,0.46,0.50,0.51,0.50,0.51,0.43,0.47,12.20,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
7,n_px,2.31,month_day_hour_min,7,0.46,0.53,0.50,0.48,0.53,0.50,0.47,0.54,0.51,0.47,0.51,0.48,0.50,0.47,0.46,0.51,0.42,0.51,0.48,0.60,0.47,0.51,0.50,0.47,0.49,12.37,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
8,n_px,2.37,month_day_hour_min,8,0.43,0.50,0.49,0.48,0.49,0.47,0.47,0.48,0.51,0.47,0.47,0.48,0.50,0.42,0.45,0.47,0.44,0.51,0.46,0.56,0.45,0.50,0.53,0.45,0.46,11.94,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
9,n_px,2.42,month_day_hour_min,9,0.43,0.49,0.48,0.48,0.49,0.45,0.47,0.46,0.53,0.47,0.47,0.48,0.47,0.42,0.43,0.49,0.46,0.49,0.47,0.52,0.46,0.50,0.52,0.44,0.47,11.84,0.47,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
